Data da Medição;Número do veículo;Número do eixo do trem;Veículo;Número do eixo do veículo;Lateral do veículo;Velocidade do eixo;Extremidade do eixo;Direção;Lateral da linha;Falha de rolamento;Alerta de rolamento;Consistente;Achatamento de pista de roda;ErsDB
2022-02-01 09:37:00;95;381;612934;4,0;R;50;B;Sentido RJ;Distante;.;0;;.;55
2022-02-01 09:37:00;95;381;612934;4,0;L;50;B;Sentido RJ;Proximo;.;0;;.;58
2022-02-01 09:37:00;95;382;612934;3,0;R;50;B;Sentido RJ;Distante;.;0;;.;52
2022-02-01 09:37:00;95;382;612934;3,0;L;50;B;Sentido RJ;Proximo;.;0;;.;56
2022-02-01 09:37:00;95;383;612934;2,0;R;50;B;Sentido RJ;Distante;.;0;;.;55
2022-02-01 09:37:00;95;383;612934;2,0;L;50;B;Sentido RJ;Proximo;.;0;;.;54
2022-02-01 09:37:00;95;384;612934;1,0;R;50;B;Sentido RJ;Distante;.;0;;.;53
2022-02-01 09:37:00;95;384;612934;1,0;L;50;B;Sentido RJ;Proximo;.;0;;.;54
2022-04-01 16:24:00;124;497;734879;1,0;L;48;A;Sentido RJ;Distante;.;0;;.;53
2022-04-01 16:24:00;124;497;734879;1,0;R;48;A;Sentido RJ;Proximo;.;0;;.;57
2022-04-01 16:24:00;124;498;734879;2,0;L;48;A;Sentido RJ;Distante;.;0;;.;50
2022-04-01 16:24:00;124;498;734879;2,0;R;48;A;Sentido RJ;Proximo;.;0;;.;55
2022-04-01 16:24:00;124;499;734879;3,0;L;48;A;Sentido RJ;Distante;RS3;0;False;.;53
2022-04-01 16:24:00;124;499;734879;3,0;R;48;A;Sentido RJ;Proximo;.;0;;.;54
2022-04-01 16:24:00;124;500;734879;4,0;L;48;A;Sentido RJ;Distante;.;0;;.;53
2022-04-01 16:24:00;124;500;734879;4,0;R;48;A;Sentido RJ;Proximo;.;0;;.;56
2022-05-01 19:05:00;95;381;612934;4,0;R;48;B;Sentido RJ;Distante;.;0;;.;55
2022-05-01 19:05:00;95;381;612934;4,0;L;48;B;Sentido RJ;Proximo;RS3;0;False;.;59
2022-05-01 19:05:00;95;382;612934;3,0;R;48;B;Sentido RJ;Distante;.;0;;.;57
2022-05-01 19:05:00;95;382;612934;3,0;L;48;B;Sentido RJ;Proximo;.;0;;.;56
2022-05-01 19:05:00;95;383;612934;2,0;R;48;B;Sentido RJ;Distante;.;0;;.;54
2022-05-01 19:05:00;95;383;612934;2,0;L;48;B;Sentido RJ;Proximo;.;0;;.;54
2022-05-01 19:05:00;95;384;612934;1,0;R;48;B;Sentido RJ;Distante;.;0;;.;53
2022-05-01 19:05:00;95;384;612934;1,0;L;48;B;Sentido RJ;Proximo;.;0;;.;55
2022-07-01 22:12:00;124;497;734879;1,0;L;49;A;Sentido RJ;Distante;.;0;;.;53
2022-07-01 22:12:00;124;497;734879;1,0;R;49;A;Sentido RJ;Proximo;.;0;;.;57
2022-07-01 22:12:00;124;498;734879;2,0;L;49;A;Sentido RJ;Distante;.;0;;.;50
2022-07-01 22:12:00;124;498;734879;2,0;R;49;A;Sentido RJ;Proximo;.;0;;.;52
2022-07-01 22:12:00;124;499;734879;3,0;L;49;A;Sentido RJ;Distante;RS3;0;False;.;52
2022-07-01 22:12:00;124;499;734879;3,0;R;49;A;Sentido RJ;Proximo;.;0;;.;53
2022-07-01 22:12:00;124;500;734879;4,0;L;49;A;Sentido RJ;Distante;.;0;;.;54
2022-07-01 22:12:00;124;500;734879;4,0;R;49;A;Sentido RJ;Proximo;RS3;0;False;.;59
2022-01-17 08:25:00;124;497;734879;1,0;L;47;A;Sentido RJ;Distante;.;0;;.;54
2022-01-17 08:25:00;124;497;734879;1,0;R;47;A;Sentido RJ;Proximo;.;0;;.;57
2022-01-17 08:25:00;124;498;734879;2,0;L;47;A;Sentido RJ;Distante;.;0;;.;51
2022-01-17 08:25:00;124;498;734879;2,0;R;47;A;Sentido RJ;Proximo;.;0;;.;53
2022-01-17 08:25:00;124;499;734879;3,0;L;47;A;Sentido RJ;Distante;.;0;;.;52
2022-01-17 08:25:00;124;499;734879;3,0;R;47;A;Sentido RJ;Proximo;.;0;;.;54
2022-01-17 08:25:00;124;500;734879;4,0;L;47;A;Sentido RJ;Distante;.;0;;.;54
2022-01-17 08:25:00;124;500;734879;4,0;R;47;A;Sentido RJ;Proximo;RS3;0;False;.;58
2022-01-23 00:39:00;95;381;612934;4,0;R;50;B;Sentido RJ;Distante;.;0;;.;55
2022-01-23 00:39:00;95;381;612934;4,0;L;50;B;Sentido RJ;Proximo;.;0;;.;60
2022-01-23 00:39:00;95;382;612934;3,0;R;50;B;Sentido RJ;Distante;.;0;;.;53
2022-01-23 00:39:00;95;382;612934;3,0;L;50;B;Sentido RJ;Proximo;.;0;;.;57
