Trem_;Veículo_;Rodeiro Veículo_;Média Rolamento Esquerdo (°C)_delta;Média Rolamento Direito (°C)_delta;DP Rolamento Esquerdo (°C)_delta;DP Rolamento Direito (°C)_delta;Rolamento Esquerdo (°C)_delta;Rolamento Direito (°C)_delta;Média Roda Esquerda (°C)_delta;Média Roda Direita (°C)_delta;DP Roda Esquerda (°C)_delta;DP Roda Direita (°C)_delta;Roda Esquerda (°C)_delta;Roda Direita (°C)_delta
KEC7102;734879;1;1,120000000000001;1,4700000000000006;0,5100000000000002;0,3599999999999999;0;11;;;;;;
KEC7102;734879;2;1,120000000000001;1,4700000000000006;0,5100000000000002;0,3599999999999999;8;3;;;;;;
KEC7102;734879;3;1,120000000000001;1,4700000000000006;0,5100000000000002;0,3599999999999999;3;0;;;;;;
KEC7102;734879;4;1,120000000000001;1,4700000000000006;0,5100000000000002;0,3599999999999999;8;4;;;;;;
NAG1102;612934;1;20,869999999999997;21,889999999999997;3,57;2,6399999999999997;26;28;99,53;116,55000000000001;20,06;19,2;103,0;139,0
NAG1102;612934;2;20,869999999999997;21,889999999999997;3,57;2,6399999999999997;18;18;99,53;116,55000000000001;20,06;19,2;109,0;151,0
NAG1102;612934;3;20,869999999999997;21,889999999999997;3,57;2,6399999999999997;32;20;99,53;116,55000000000001;20,06;19,2;122,0;152,0
NAG1102;612934;4;20,869999999999997;21,889999999999997;3,57;2,6399999999999997;25;23;99,53;116,55000000000001;20,06;19,2;124,0;101,0
NAG1102;734879;1;20,869999999999997;21,889999999999997;3,57;2,6399999999999997;28;23;99,53;116,55000000000001;20,06;19,2;92,0;127,0
NAG1102;734879;2;20,869999999999997;21,889999999999997;3,57;2,6399999999999997;30;27;99,53;116,55000000000001;20,06;19,2;168,0;166,0
NAG1102;734879;3;20,869999999999997;21,889999999999997;3,57;2,6399999999999997;22;26;99,53;116,55000000000001;20,06;19,2;109,0;142,0
NAG1102;734879;4;20,869999999999997;21,889999999999997;3,57;2,6399999999999997;36;23;99,53;116,55000000000001;20,06;19,2;160,0;203,0
NAG1146;612934;1;25,62;20,590000000000003;3,9;2,59;19;25;110,53;125,98000000000002;31,529999999999998;31,349999999999998;162,0;158,0
