Veículo;Posição;Data da Medição;Rodeiro Veículo;Rodeiro Composição;Equipamento;Trem;Média Rolamento Esquerdo (°C);Média Rolamento Direito (°C);DP Rolamento Esquerdo (°C);DP Rolamento Direito (°C);Rolamento Esquerdo (°C);Rolamento Direito (°C);Média Roda Esquerda (°C);Média Roda Direita (°C);DP Roda Esquerda (°C);DP Roda Direita (°C);Roda Esquerda (°C);Roda Direita (°C);Tipo;Carregado
734879;26;2022-05-02 03:58:09;4;108;MELO FRANCO;KEC7102;11,94;11,09;2,44;2,48;12;15;;;;;;;V;0
734879;26;2022-05-02 03:58:09;3;107;MELO FRANCO;KEC7102;11,94;11,09;2,44;2,48;10;11;;;;;;;V;0
734879;26;2022-05-02 03:58:09;2;106;MELO FRANCO;KEC7102;11,94;11,09;2,44;2,48;10;15;;;;;;;V;0
734879;26;2022-05-02 03:58:09;1;105;MELO FRANCO;KEC7102;11,94;11,09;2,44;2,48;13;8;;;;;;;V;0
734879;26;2022-05-02 04:31:30;4;108;MOEDA;KEC7102;13,06;12,56;2,95;2,84;20;11;;;;;;;V;0
734879;26;2022-05-02 04:31:30;3;107;MOEDA;KEC7102;13,06;12,56;2,95;2,84;13;11;;;;;;;V;0
734879;26;2022-05-02 04:31:30;2;106;MOEDA;KEC7102;13,06;12,56;2,95;2,84;18;12;;;;;;;V;0
734879;26;2022-05-02 04:31:30;1;105;MOEDA;KEC7102;13,06;12,56;2,95;2,84;13;19;;;;;;;V;0
734879;11;2022-05-05 02:54:51;4;48;P1-08 P1-09 KM272;NEL0308;8,5;8,15;2,6;2,15;16;8;;;;;;;V;0
734879;11;2022-05-05 02:54:51;3;47;P1-08 P1-09 KM272;NEL0308;8,5;8,15;2,6;2,15;13;9;;;;;;;V;0
734879;11;2022-05-05 02:54:51;2;46;P1-08 P1-09 KM272;NEL0308;8,5;8,15;2,6;2,15;12;10;;;;;;;V;0
734879;11;2022-05-05 02:54:51;1;45;P1-08 P1-09 KM272;NEL0308;8,5;8,15;2,6;2,15;9;10;;;;;;;V;0
734879;11;2022-05-05 03:58:15;4;48;P1-11 P1-10 KM237;NEL0308;13,59;13,42;2,91;2,92;20;13;39,73;34,08;16,18;16,55;34,0;8,0;V;0
734879;11;2022-05-05 03:58:15;3;47;P1-11 P1-10 KM237;NEL0308;13,59;13,42;2,91;2,92;17;13;39,73;34,08;16,18;16,55;34,0;45,0;V;0
734879;11;2022-05-05 03:58:15;2;46;P1-11 P1-10 KM237;NEL0308;13,59;13,42;2,91;2,92;19;15;39,73;34,08;16,18;16,55;28,0;69,0;V;0
734879;11;2022-05-05 03:58:15;1;45;P1-11 P1-10 KM237;NEL0308;13,59;13,42;2,91;2,92;13;18;39,73;34,08;16,18;16,55;58,0;42,0;V;0
734879;11;2022-05-05 04:30:42;4;48;P1-12 P1-13 KM212;NEL0308;10,17;10,87;4,0;3,19;17;10;;;;;;;V;0
734879;11;2022-05-05 04:30:42;3;47;P1-12 P1-13 KM212;NEL0308;10,17;10,87;4,0;3,19;10;12;;;;;;;V;0
734879;11;2022-05-05 04:30:42;2;46;P1-12 P1-13 KM212;NEL0308;10,17;10,87;4,0;3,19;14;14;;;;;;;V;0
734879;11;2022-05-05 04:30:42;1;45;P1-12 P1-13 KM212;NEL0308;10,17;10,87;4,0;3,19;1;16;;;;;;;V;0
734879;11;2022-05-05 05:11:22;4;48;P2-01 P1-14 KM186;NEL0308;17,03;15,26;3,81;3,38;24;14;;;;;;;V;0
734879;11;2022-05-05 05:11:22;3;47;P2-01 P1-14 KM186;NEL0308;17,03;15,26;3,81;3,38;24;14;;;;;;;V;0
734879;11;2022-05-05 05:11:22;2;46;P2-01 P1-14 KM186;NEL0308;17,03;15,26;3,81;3,38;22;16;;;;;;;V;0
734879;11;2022-05-05 05:11:22;1;45;P2-01 P1-14 KM186;NEL0308;17,03;15,26;3,81;3,38;18;18;;;;;;;V;0
734879;11;2022-05-05 05:36:30;4;48;P2-01 P2-02;NEL0308;14,61;14,26;3,02;3,0;21;13;;;;;;;V;0
734879;11;2022-05-05 05:36:30;3;47;P2-01 P2-02;NEL0308;14,61;14,26;3,02;3,0;17;13;;;;;;;V;0
734879;11;2022-05-05 05:36:30;2;46;P2-01 P2-02;NEL0308;14,61;14,26;3,02;3,0;19;15;;;;;;;V;0
734879;11;2022-05-05 05:36:30;1;45;P2-01 P2-02;NEL0308;14,61;14,26;3,02;3,0;14;17;;;;;;;V;0
734879;11;2022-05-05 06:06:47;4;48;P2-03 P2-03A KM144;NEL0308;11,03;9,26;4,1;4,63;16;1;;;;;;;V;0
734879;11;2022-05-05 06:06:47;3;47;P2-03 P2-03A KM144;NEL0308;11,03;9,26;4,1;4,63;10;6;;;;;;;V;0
734879;11;2022-05-05 06:06:47;2;46;P2-03 P2-03A KM144;NEL0308;11,03;9,26;4,1;4,63;16;0;;;;;;;V;0
734879;11;2022-05-05 06:06:47;1;45;P2-03 P2-03A KM144;NEL0308;11,03;9,26;4,1;4,63;13;13;;;;;;;V;0
734879;11;2022-05-05 06:56:14;4;48;P02-04 P02-05 KM114;NEL0308;17,67;16,98;3,52;3,38;24;19;;;;;;;V;0
734879;11;2022-05-05 06:56:14;3;47;P02-04 P02-05 KM114;NEL0308;17,67;16,98;3,52;3,38;21;18;;;;;;;V;0
734879;11;2022-05-05 06:56:14;2;46;P02-04 P02-05 KM114;NEL0308;17,67;16,98;3,52;3,38;21;19;;;;;;;V;0
