Trem_,Veículo_,Rodeiro Veículo_,Média Rolamento Esquerdo Trem (°C)_delta,Média Rolamento Direito Trem (°C)_delta,DP Rolamento Esquerdo Trem (°C)_delta,DP Rolamento Direito Trem (°C)_delta,Rolamento Esquerdo vagão (°C)_delta,Rolamento Direito vagão (°C)_delta,Média Roda Esquerda Trem (°C)_delta,Média Roda Direita Trem (°C)_delta,DP Roda Esquerda Trem (°C)_delta,DP Roda Direita Trem (°C)_delta,Roda Esquerda vagão (°C)_delta,Roda Direita vagão (°C)_delta
KCS6112,735595,1,6.870000000000001,6.02,3.7399999999999998,2.08,9,10,7.49,8.01,1.5999999999999999,2.67,8.0,8.0
KCS6112,735595,2,6.870000000000001,6.02,3.7399999999999998,2.08,11,12,7.49,8.01,1.5999999999999999,2.67,8.0,8.0
KCS6112,735595,3,6.870000000000001,6.02,3.7399999999999998,2.08,9,8,7.49,8.01,1.5999999999999999,2.67,8.0,8.0
KCS6112,735595,4,6.870000000000001,6.02,3.7399999999999998,2.08,9,10,7.49,8.01,1.5999999999999999,2.67,8.0,8.0
KCS6112,735596,1,6.870000000000001,6.02,3.7399999999999998,2.08,21,8,7.49,8.01,1.5999999999999999,2.67,13.0,8.0
KCS6112,735596,2,6.870000000000001,6.02,3.7399999999999998,2.08,10,11,7.49,8.01,1.5999999999999999,2.67,8.0,8.0
KCS6112,735596,3,6.870000000000001,6.02,3.7399999999999998,2.08,7,14,7.49,8.01,1.5999999999999999,2.67,8.0,9.0
KCS6112,735596,4,6.870000000000001,6.02,3.7399999999999998,2.08,16,10,7.49,8.01,1.5999999999999999,2.67,8.0,8.0
KEC1116,735203,1,0.9600000000000009,1.0600000000000005,0.2200000000000002,0.5700000000000003,2,2,,,,,,
KEC1116,735203,2,0.9600000000000009,1.0600000000000005,0.2200000000000002,0.5700000000000003,3,3,,,,,,
KEC1116,735203,3,0.9600000000000009,1.0600000000000005,0.2200000000000002,0.5700000000000003,2,1,,,,,,
KEC1116,735203,4,0.9600000000000009,1.0600000000000005,0.2200000000000002,0.5700000000000003,2,1,,,,,,
KEC1116,735204,1,0.9600000000000009,1.0600000000000005,0.2200000000000002,0.5700000000000003,2,1,,,,,,
KEC1116,735204,2,0.9600000000000009,1.0600000000000005,0.2200000000000002,0.5700000000000003,0,5,,,,,,
KEC1116,735204,3,0.9600000000000009,1.0600000000000005,0.2200000000000002,0.5700000000000003,3,0,,,,,,
KEC1116,735204,4,0.9600000000000009,1.0600000000000005,0.2200000000000002,0.5700000000000003,1,3,,,,,,
KEC1116,735803,1,0.9600000000000009,1.0600000000000005,0.2200000000000002,0.5700000000000003,0,3,,,,,,
KEC1116,735803,2,0.9600000000000009,1.0600000000000005,0.2200000000000002,0.5700000000000003,0,0,,,,,,
KEC1116,735803,3,0.9600000000000009,1.0600000000000005,0.2200000000000002,0.5700000000000003,2,2,,,,,,
KEC1116,735803,4,0.9600000000000009,1.0600000000000005,0.2200000000000002,0.5700000000000003,0,0,,,,,,
KEC1116,735804,1,0.9600000000000009,1.0600000000000005,0.2200000000000002,0.5700000000000003,3,3,,,,,,
KEC1116,735804,2,0.9600000000000009,1.0600000000000005,0.2200000000000002,0.5700000000000003,0,2,,,,,,
KEC1116,735804,3,0.9600000000000009,1.0600000000000005,0.2200000000000002,0.5700000000000003,1,4,,,,,,
KEC1116,735804,4,0.9600000000000009,1.0600000000000005,0.2200000000000002,0.5700000000000003,3,3,,,,,,
KER0102,735461,1,0.0,0.0,0.0,0.0,0,0,,,,,,
KER0102,735461,2,0.0,0.0,0.0,0.0,0,0,,,,,,
KER0102,735461,3,0.0,0.0,0.0,0.0,0,0,,,,,,
KER0102,735461,4,0.0,0.0,0.0,0.0,0,0,,,,,,
KPE0107,735365,1,1.5200000000000014,0.25,0.7800000000000002,0.26000000000000023,0,1,,,,,,
KPE0107,735365,2,1.5200000000000014,0.25,0.7800000000000002,0.26000000000000023,1,2,,,,,,
KPE0107,735365,3,1.5200000000000014,0.25,0.7800000000000002,0.26000000000000023,1,0,,,,,,
KPE0107,735365,4,1.5200000000000014,0.25,0.7800000000000002,0.26000000000000023,1,2,,,,,,
KPE0107,735366,1,1.5200000000000014,0.25,0.7800000000000002,0.26000000000000023,0,0,,,,,,
KPE0107,735366,2,1.5200000000000014,0.25,0.7800000000000002,0.26000000000000023,1,2,,,,,,
KPE0107,735366,3,1.5200000000000014,0.25,0.7800000000000002,0.26000000000000023,1,1,,,,,,
KPE0107,735366,4,1.5200000000000014,0.25,0.7800000000000002,0.26000000000000023,0,3,,,,,,
KPE0107,735529,1,7.49,8.44,1.4299999999999997,1.6500000000000004,9,7,0.0,0.0,0.0,0.0,0.0,0.0
KPE0107,735529,2,7.49,8.44,1.4299999999999997,1.6500000000000004,12,10,0.0,0.0,0.0,0.0,0.0,0.0
KPE0107,735529,3,7.49,8.44,1.4299999999999997,1.6500000000000004,11,10,0.0,0.0,0.0,0.0,0.0,0.0
KPE0107,735529,4,7.49,8.44,1.4299999999999997,1.6500000000000004,10,8,0.0,0.0,0.0,0.0,0.0,0.0
KPE0107,735530,1,7.49,8.44,1.4299999999999997,1.6500000000000004,8,12,0.0,0.0,0.0,0.0,0.0,0.0
KPE0107,735530,2,7.49,8.44,1.4299999999999997,1.6500000000000004,8,9,0.0,0.0,0.0,0.0,0.0,0.0
KPE0107,735530,3,7.49,8.44,1.4299999999999997,1.6500000000000004,7,10,0.0,0.0,0.0,0.0,0.0,0.0
KPE0107,735530,4,7.49,8.44,1.4299999999999997,1.6500000000000004,10,7,0.0,0.0,0.0,0.0,0.0,0.0
KPE0107,735597,1,7.49,8.44,1.4299999999999997,1.6500000000000004,12,14,0.0,0.0,0.0,0.0,0.0,0.0
KPE0107,735597,2,7.49,8.44,1.4299999999999997,1.6500000000000004,12,10,0.0,0.0,0.0,0.0,0.0,0.0
KPE0107,735597,3,7.49,8.44,1.4299999999999997,1.6500000000000004,13,14,0.0,0.0,0.0,0.0,0.0,0.0
KPE0107,735597,4,7.49,8.44,1.4299999999999997,1.6500000000000004,8,12,0.0,0.0,0.0,0.0,0.0,0.0
KPE0107,735598,1,7.49,8.44,1.4299999999999997,1.6500000000000004,8,4,0.0,0.0,0.0,0.0,0.0,0.0
KPE0107,735598,2,7.49,8.44,1.4299999999999997,1.6500000000000004,10,10,0.0,0.0,0.0,0.0,0.0,0.0
KPE0107,735598,3,7.49,8.44,1.4299999999999997,1.6500000000000004,11,14,0.0,0.0,0.0,0.0,0.0,0.0
KPE0107,735598,4,7.49,8.44,1.4299999999999997,1.6500000000000004,7,9,0.0,0.0,0.0,0.0,0.0,0.0
KPE0161,735119,1,0.35999999999999943,0.3099999999999987,1.31,0.56,0,0,,,,,,
KPE0161,735119,2,0.35999999999999943,0.3099999999999987,1.31,0.56,2,0,,,,,,
KPE0161,735119,3,0.35999999999999943,0.3099999999999987,1.31,0.56,6,1,,,,,,
KPE0161,735119,4,0.35999999999999943,0.3099999999999987,1.31,0.56,1,0,,,,,,
KPE0161,735120,1,0.35999999999999943,0.3099999999999987,1.31,0.56,2,0,,,,,,
KPE0161,735120,2,0.35999999999999943,0.3099999999999987,1.31,0.56,1,2,,,,,,
KPE0161,735120,3,0.35999999999999943,0.3099999999999987,1.31,0.56,1,2,,,,,,
KPE0161,735120,4,0.35999999999999943,0.3099999999999987,1.31,0.56,0,4,,,,,,
KPE0161,735917,1,8.18,9.88,1.9300000000000006,2.6899999999999995,9,8,0.0,0.0,0.0,0.0,0.0,0.0
